id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
IOGC;0;0;1;1;2;1;0;39;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
X4XS;1;1;0;3;1;3;0;36;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0
BQKT;0;1;0;3;0;2;0;24;0;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
E6RS;0;1;0;1;0;2;0;24;0;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0
HWQN;0;1;0;3;1;3;0;28;0;1;1;0;1;0;1;0;0;1;0;1.0;0.0;1.0;0.0
ZQG3;0;1;0;0;1;2;0;24;1;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0
QCDK;0;1;0;1;2;5;0;24;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
GDMO;0;1;0;3;1;5;0;23;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
DBH3;0;1;0;3;1;3;0;26;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
GDNQ;0;1;0;1;2;5;0;23;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
QCS7;0;1;0;1;0;3;0;26;0;0;0;0;0;0;0;0;0;0;0;0.5;0.0;0.6666666666666666;0.0
J5AC;0;0;1;1;2;2;0;25;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0.0
ORZS;0;1;0;1;2;3;0;46;0;0;0;0;0;0;0;0;0;0;0;0.5;0.0;0.6666666666666666;0.0
DDC6;0;1;0;4;3;5;0;52;1;1;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0
CPLW;0;1;0;1;2;3;0;52;1;1;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0
HMSJ;0;1;0;4;3;5;0;44;1;1;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0
INPP;0;1;0;4;3;5;0;43;1;1;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0
MYR6;0;1;0;3;3;5;0;23;1;0;0;0;0;0;0;1;1;1;0;0.7142857142857142;0.0;0.7777777777777778;1.0
OBAT;1;1;0;1;2;3;0;40;0;1;1;0;0;0;1;1;1;1;0;0.7142857142857142;0.0;0.7777777777777778;1.0
OQYP;0;1;0;4;1;2;0;32;0;0;0;0;0;0;0;0;0;0;0;0.2857142857142857;0.0;0.5833333333333334;1.0
JNLY;0;1;0;3;3;5;0;37;1;1;0;0;0;0;0;1;1;1;0;0.7142857142857142;0.0;0.7777777777777778;1.0
VOOV;1;0;1;3;3;5;0;24;1;0;0;0;0;0;0;1;1;1;0;0.7142857142857142;0.0;0.7777777777777778;1.0
MEQA;0;1;0;2;3;5;0;32;0;0;0;0;0;0;0;1;1;1;0;1.0;0.4761904761904761;1.0;0.5238095238095238
YVV8;0;0;1;3;1;1;0;55;0;1;1;0;0;0;0;0;0;1;0;0.2857142857142857;0.0;0.5833333333333334;1.0
WKLQ;0;1;0;3;3;5;0;24;1;0;0;0;0;0;0;1;1;1;0;0.7142857142857142;0.0;0.7777777777777778;1.0
D4CL;1;1;0;1;2;3;0;37;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
AIW8;0;1;0;1;2;3;0;31;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
BNKQ;0;1;0;3;2;3;0;43;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
AGP1;0;1;0;1;2;3;0;32;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
OXOC;0;0;1;1;0;5;0;31;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
PVH6;0;1;0;1;0;5;0;27;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
F7GI;0;1;0;3;1;5;0;25;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
YHA8;0;1;0;1;3;4;0;27;0;1;1;0;0;0;0;0;0;1;0;0.6666666666666666;0.0;0.75;1.0
T5TR;0;1;0;1;3;4;0;27;0;1;1;0;0;0;0;0;0;1;0;1.0;0.1666666666666666;1.0;0.6666666666666666
HYJL;0;1;0;2;1;3;0;30;0;1;1;0;0;0;0;0;0;1;0;1.0;0.1666666666666666;1.0;0.6666666666666666
